province,city,stores,brands
Guangdong,东莞,200,92
Guangdong,中山,182,86
Guangdong,佛山,225,104
Guangdong,广州,200,90
Guangdong,惠州,200,93
Guangdong,深圳,200,92
Guangdong,珠海,100,61
Jiangsu,南京,200,110
Jiangsu,南通,200,99
Jiangsu,常州,194,106
Jiangsu,徐州,200,101
Jiangsu,扬州,114,72
Jiangsu,无锡,200,105
Jiangsu,苏州,200,108
Jiangsu,镇江,98,68
Shandong,东营,97,68
Shandong,临沂,200,114
Shandong,威海,112,72
Shandong,德州,139,87
Shandong,日照,93,66
Shandong,枣庄,98,57
Shandong,泰安,122,79
Shandong,济南,200,106
Shandong,济宁,197,105
Shandong,淄博,138,77
Shandong,滨州,133,80
Shandong,潍坊,200,111
Shandong,烟台,200,102
Shandong,聊城,118,75
Shandong,菏泽,176,92
Shandong,青岛,200,103
Sichuan,南充,110,67
Sichuan,宜宾,85,51
Sichuan,德阳,84,55
Sichuan,成都,200,107
Sichuan,绵阳,122,80
