province,city,stores,brands,hits_spearman_r,p_value,hub_mean,hub_std
Sichuan,南充,74,33,0,1,0.0319,0.0806
Sichuan,宜宾,57,23,0,1,0.018,0.0368
Sichuan,德阳,49,21,0,1,0.0182,0.0486
Sichuan,成都,119,38,0,1,0.0086,0.019
Sichuan,绵阳,74,33,0,1,0.0099,0.025
Shandong,东营,58,29,0,1,0.0115,0.0311
Shandong,临沂,115,34,0,1,0.0075,0.0223
Shandong,威海,75,37,0,1,-0.0008,0.0192
Shandong,德州,87,35,0,1,0.0089,0.0262
Shandong,日照,55,29,0,1,0.0179,0.0434
Shandong,枣庄,69,28,0,1,-0.112,0.3093
Shandong,泰安,70,29,0,1,0.0212,0.059
Shandong,济南,138,45,0,1,0.0033,0.0104
Shandong,济宁,129,42,0,1,0.0094,0.0292
Shandong,淄博,91,32,0,1,0.0109,0.0309
Shandong,滨州,87,36,0,1,0.0118,0.0372
Shandong,潍坊,128,41,0,1,0.0038,0.0119
Shandong,烟台,129,36,0,1,0.008,0.0221
Shandong,聊城,67,29,0,1,0.0129,0.0327
Shandong,菏泽,125,42,0,1,0.0066,0.0185
Shandong,青岛,125,37,0,1,0.0084,0.0236
Jiangsu,南京,123,42,0,1,0.0221,0.0644
Jiangsu,南通,134,40,0,1,0.0119,0.0312
Jiangsu,常州,118,40,0,1,0.0063,0.0157
Jiangsu,徐州,128,34,0,1,0.0153,0.0366
Jiangsu,扬州,75,34,0,1,0.0038,0.0772
Jiangsu,无锡,127,40,0,1,0.0076,0.0217
Jiangsu,苏州,124,39,0,1,0.0075,0.022
Jiangsu,镇江,58,29,0,1,0.0166,0.0448
Guangdong,东莞,146,45,0,1,0.006,0.0134
Guangdong,中山,120,35,0,1,0.0112,0.0296
Guangdong,佛山,147,37,0,1,0.0111,0.0307
Guangdong,广州,144,45,0,1,0.0093,0.0246
Guangdong,惠州,139,40,0,1,0.0041,0.0117
Guangdong,深圳,138,38,0,1,0.0042,0.0085
Guangdong,珠海,64,29,0,1,0.0201,0.0573
