province,city,stores,brands,hits_spearman_r
Sichuan,南充,74,33,0
Sichuan,宜宾,57,23,0
Sichuan,德阳,49,21,0
Sichuan,成都,119,38,0
Sichuan,绵阳,74,33,0
Shandong,东营,58,29,0
Shandong,临沂,115,34,0
Shandong,威海,75,37,0
Shandong,德州,87,35,0
Shandong,日照,55,29,0
Shandong,枣庄,69,28,0
Shandong,泰安,70,29,0
Shandong,济南,138,45,0
Shandong,济宁,129,42,0
Shandong,淄博,91,32,0
Shandong,滨州,87,36,0
Shandong,潍坊,128,41,0
Shandong,烟台,129,36,0
Shandong,聊城,67,29,0
Shandong,菏泽,125,42,0
Shandong,青岛,125,37,0
Jiangsu,南京,123,42,0
Jiangsu,南通,134,40,0
Jiangsu,常州,118,40,0
Jiangsu,徐州,128,34,0
Jiangsu,扬州,75,34,0
Jiangsu,无锡,127,40,0
Jiangsu,苏州,124,39,0
Jiangsu,镇江,58,29,0
Guangdong,东莞,146,45,0
Guangdong,中山,120,35,0
Guangdong,佛山,147,37,0
Guangdong,广州,144,45,0
Guangdong,惠州,139,40,0
Guangdong,深圳,138,38,0
Guangdong,珠海,64,29,0
